trending_id,trend_date_time,trend
115,2021-12-07 15:00:15.189,#20thSnowfallwithSUNGHOON
116,2021-12-07 15:00:15.331928,#PromiseByJimin300M
117,2021-12-07 15:00:15.566776,Aviões
118,2021-12-07 15:00:15.747385,HISTORY MAKER JIMIN
119,2021-12-07 15:00:15.87161,#지민아_약속_300M_축하해
120,2021-12-07 15:00:16.090394,#EletrobrasNoTCU
121,2021-12-08 03:00:54.337694,#RoçaAFazenda
122,2021-12-08 03:00:54.494805,#MasterChefBR
123,2021-12-08 03:00:54.625818,DAY AND MELLOS
124,2021-12-08 03:00:54.779327,#TheVoiceBrasil
125,2021-12-08 03:00:55.060765,Douglas Costa
126,2021-12-08 03:00:55.232175,Daphne
127,2021-12-08 03:00:55.451423,Dynho
128,2021-12-08 03:00:55.632394,#BolsonaroPersonOfTheYear
129,2021-12-08 03:00:55.777319,#CorridaDasBlogueiras
130,2021-12-08 03:00:55.886484,Isabella
131,2021-12-08 15:00:38.749733,DAYANE NO HOJE EM DIA
132,2021-12-08 15:00:38.902314,YELENA
133,2021-12-08 15:00:39.070669,#Hawkeye
136,2021-12-08 15:00:39.546121,Oxum
137,2021-12-08 15:00:39.762499,Douglas Costa
138,2021-12-08 15:00:39.974324,Deolane
139,2021-12-08 15:00:40.09126,16 COSMOS FOR NI-KI
140,2021-12-08 15:00:40.2212,#LegendaRiKiSweet16
141,2021-12-08 21:00:32.456976,Barcelona
142,2021-12-08 21:00:32.69865,Barça
143,2021-12-08 21:00:33.030397,Chelsea
144,2021-12-08 21:00:33.249548,Benfica
145,2021-12-08 21:00:33.44907,Stegen
146,2021-12-08 21:00:33.689952,Sané
147,2021-12-08 21:00:33.880554,Muller
148,2021-12-08 21:00:34.077104,Europa League
149,2021-12-08 21:00:34.289867,Werner
150,2021-12-08 21:00:34.453395,Dembele
151,2021-12-09 03:01:00.334924,#PremioMultishow
152,2021-12-09 03:01:00.527204,#ProvaDoFazendeiro
153,2021-12-09 03:01:00.827306,Tata
154,2021-12-09 03:01:01.004204,Ivete
155,2021-12-09 03:01:01.306388,Zanotti
156,2021-12-09 03:01:01.496967,#RespeitaAsMinas
157,2021-12-09 03:01:01.622071,DAYANE NA AFAZENDANEWS
158,2021-12-09 03:01:01.820886,Marina Sena
159,2021-12-09 03:01:01.980313,Xuxa
160,2021-12-09 03:01:02.381166,#PaulistaoFeminino
161,2021-12-09 15:00:53.703693,Josué
162,2021-12-09 15:00:53.939135,jaehyun
163,2021-12-09 15:00:54.1245,#CiroTaAvisando
216,2021-12-11 03:00:53.571393,#SomosTodosNaoVacinados
164,2021-12-09 15:00:54.350755,#SescRespeiteOsProfessores
165,2021-12-09 15:00:54.618196,Kimmich
166,2021-12-09 15:00:54.850392,#TheGameAwards
167,2021-12-09 15:00:55.078621,Motel Afrodite
168,2021-12-09 15:00:55.266095,gabi brandt
169,2021-12-09 15:00:55.45763,Alfonso
170,2021-12-09 15:00:55.632929,BARMYSTREAM NOS CHARTS
171,2021-12-09 21:00:10.833594,Josué
172,2021-12-09 21:00:11.023061,Clayson
173,2021-12-09 21:00:11.225978,Atalanta
174,2021-12-09 21:00:11.407641,Porchat
175,2021-12-09 21:00:11.556209,TE AMAMOS CARLA
176,2021-12-09 21:00:11.726274,#CalangoAwards
177,2021-12-09 21:00:11.870919,Sharon
178,2021-12-09 21:00:12.02672,#boatekiss
179,2021-12-09 21:00:12.18071,#MoroFazendoACoisaCerta
180,2021-12-09 21:00:12.339336,Leicester
217,2021-12-11 03:00:53.69647,tierry na fazenda
3408,2022-04-08 15:00:30.711979,UM MES SEM A JADOCA
181,2021-12-10 03:01:08.485636,gremio
182,2021-12-10 03:01:08.711426,Juventude
183,2021-12-10 03:01:08.969741,Corinthians
184,2021-12-10 03:01:09.193657,Fortaleza
185,2021-12-10 03:01:09.396023,Cássio
186,2021-12-10 03:01:09.580878,Borja
187,2021-12-10 03:01:09.80703,Farid
188,2021-12-10 03:01:10.012485,Rafinha
189,2021-12-10 03:01:10.240458,Bragantino
190,2021-12-10 03:01:10.416692,#TheGameAwards
191,2021-12-10 15:00:52.322107,#BadBuddySeriesEP7
192,2021-12-10 15:00:52.527128,ConecteSUS
218,2021-12-11 03:00:53.883806,the hating game
4037,2022-04-29 21:00:10.864,#FreeJoaquinTeixeira
193,2021-12-10 15:00:52.726813,#sextou
194,2021-12-10 15:00:52.913747,Ministério da Saúde
195,2021-12-10 15:00:53.141902,Direitos Humanos
196,2021-12-10 15:00:53.303359,NO CHÃO NOVINHA CLIPE
197,2021-12-10 15:00:53.476833,#TABATAnoMorning
198,2021-12-10 15:00:53.629976,Alexandre Nero
199,2021-12-10 15:00:53.89961,now united
200,2021-12-10 15:00:54.032346,ZAYN MALIK
201,2021-12-10 21:00:11.355332,GABIGOL NO PODPAH
202,2021-12-10 21:00:11.556621,Muricy
203,2021-12-10 21:00:11.736249,SOBRE IS COMING
204,2021-12-10 21:00:11.849181,I&R FEAT JULIETTE
205,2021-12-10 21:00:11.964427,#FreeCodeFridayContest
206,2021-12-10 21:00:12.084509,#SomosTodosNaoVacinados
207,2021-12-10 21:00:12.204456,#BadBuddySeriesEP7
208,2021-12-10 21:00:12.33572,#boatekiss
209,2021-12-10 21:00:12.466671,ESPIÕES COM SARAH
210,2021-12-10 21:00:12.635351,Shuri
211,2021-12-11 03:00:52.796476,SEMPRE CONTIGO DAY
212,2021-12-11 03:00:53.02492,Gabigol
213,2021-12-11 03:00:53.190525,#Em2022EuVou
214,2021-12-11 03:00:53.318958,HAPPY HAILEE'S DAY
215,2021-12-11 03:00:53.444866,#VerdadesSecretas
220,2021-12-11 03:00:54.272849,Haia
221,2021-12-11 15:00:31.005088,Norris
222,2021-12-11 15:00:31.130482,VOCÊ É LUZ DAYANE MELLO
223,2021-12-11 15:00:31.293659,Bottas
224,2021-12-11 15:00:31.586588,Lewis
225,2021-12-11 15:00:31.7548,#AbuDabhiGP
226,2021-12-11 15:00:31.886346,NINGUÉM SOLTA A MÃO DE NINGUÉM
227,2021-12-11 15:00:32.048104,#PremierLeagueNaESPN
228,2021-12-11 15:00:32.247656,Perez
229,2021-12-11 15:00:32.468899,#MAMA2021
230,2021-12-11 15:00:32.609879,HOJE TEM COMEBACK LUAN
231,2021-12-11 21:00:56.07803,Cavani
232,2021-12-11 21:00:56.254028,De Gea
233,2021-12-11 21:00:56.422616,#Caldeirao
234,2021-12-11 21:00:56.541564,TRABALHE EQUIPE JULIETTE
235,2021-12-11 21:00:56.716797,Duilio
236,2021-12-11 21:00:56.911248,Tarcísio
237,2021-12-11 21:00:57.145475,Barroso
238,2021-12-11 21:00:57.32083,Weintraub
239,2021-12-11 21:00:57.481077,Negra Li
240,2021-12-11 21:00:57.649085,Rashford
264,2021-12-12 03:00:45.039691,#UFC269NoCombate
265,2021-12-12 03:00:45.190507,#FestaAFazenda
266,2021-12-12 03:00:45.339349,#BakeOffBrasil
267,2021-12-12 03:00:45.43651,#HitLGBTQ
268,2021-12-12 03:00:45.626463,Monarco
269,2021-12-12 03:00:45.770491,#AltasHoras
270,2021-12-12 03:00:45.969498,Barroso
271,2021-12-12 03:00:46.087611,Dominick Cruz
295,2021-12-13 03:00:35.041706,#MissUniverse
272,2021-12-12 03:00:46.271003,Sada Cruzeiro
273,2021-12-12 03:00:46.456907,Curry
274,2021-12-12 15:00:41.01142,Hamilton
275,2021-12-12 15:00:41.236756,Verstappen
276,2021-12-12 15:00:41.448092,#F1naBand
277,2021-12-12 15:00:41.732022,Perez
278,2021-12-12 15:00:41.959415,Latifi
279,2021-12-12 15:00:42.146489,#AbuDhabiGP
280,2021-12-12 15:00:42.310164,#F1Finale
281,2021-12-12 15:00:42.547354,Bottas
282,2021-12-12 15:00:42.80539,SUPER MAX
283,2021-12-12 15:00:43.055422,Massa
284,2021-12-12 21:00:32.365479,Hulk
285,2021-12-12 21:00:32.544396,Benzema
286,2021-12-12 21:00:32.720697,Diego Costa
287,2021-12-12 21:00:32.856801,#NowUnitednoDomingao
